Invoice,fruit,price,qty,total
1001,CrustedApple,80,41,3280
1002,WaterMelon,35,34,1190
1003,Apple,220,9,1980
1004,MuskMelon,35,36,1260
1005,WaterMelon,35,22,770
1006,Banana,55,29,1595
1007,Banana,55,21,1155
1008,Apple,220,26,5720
1009,Grapes,120,15,1800
1010,CrustedApple,80,4,320
1011,Gauva,40,8,320
1012,Avacado,140,41,5740
1013,Avacado,140,48,6720
1014,WaterMelon,35,22,770
1015,Mango,180,18,3240
1016,Pineapple,70,28,1960
1017,WaterMelon,35,39,1365
1018,Apple,220,6,1320
1019,MuskMelon,35,41,1435
1020,Mango,180,38,6840
1021,CrustedApple,80,36,2880
1022,Banana,55,26,1430
1023,Mango,180,25,4500
1024,Mango,180,35,6300
1025,Mango,180,17,3060
1026,Apple,220,45,9900
1027,Banana,55,31,1705
1028,CrustedApple,80,38,3040
1029,WaterMelon,35,4,140
1030,CrustedApple,80,22,1760
1031,Avacado,140,46,6440
1032,MuskMelon,35,26,910
1033,Pineapple,70,26,1820
1034,Mango,180,28,5040
1035,Orange,85,35,2975
1036,Gauva,40,38,1520
1037,MuskMelon,35,38,1330
1038,CrustedApple,80,5,400
1039,Gauva,40,49,1960
1040,Grapes,120,32,3840
1041,Gauva,40,49,1960
1042,Orange,85,43,3655
1043,Pears,130,16,2080
1044,Mango,180,45,8100
1045,Pineapple,70,27,1890
1046,WaterMelon,35,32,1120
1047,Mango,180,24,4320
1048,Grapes,120,39,4680
1049,MuskMelon,35,13,455
1050,Banana,55,34,1870
1051,CrustedApple,80,21,1680
1052,MuskMelon,35,36,1260
1053,Mango,180,39,7020
1054,Gauva,40,18,720
1055,Avacado,140,2,280
1056,Apple,220,33,7260
1057,Apple,220,36,7920
1058,Avacado,140,46,6440
1059,Apple,220,24,5280
1060,Grapes,120,19,2280
1061,Avacado,140,41,5740
1062,Mango,180,36,6480
1063,Banana,55,23,1265
1064,Pineapple,70,31,2170
1065,WaterMelon,35,19,665
1066,Pineapple,70,43,3010
1067,MuskMelon,35,31,1085
1068,Grapes,120,24,2880
1069,CrustedApple,80,34,2720
1070,Grapes,120,33,3960
1071,Mango,180,17,3060
1072,Gauva,40,42,1680
1073,Orange,85,23,1955
1074,Apple,220,20,4400
1075,Grapes,120,30,3600
1076,Grapes,120,4,480
1077,WaterMelon,35,30,1050
1078,Grapes,120,9,1080
1079,Orange,85,38,3230
1080,WaterMelon,35,49,1715
1081,Pineapple,70,41,2870
1082,Mango,180,14,2520
1083,Avacado,140,37,5180
1084,Avacado,140,4,560
1085,Orange,85,31,2635
1086,Mango,180,3,540
1087,Pineapple,70,9,630
1088,Pineapple,70,17,1190
1089,Mango,180,16,2880
1090,Pears,130,45,5850
1091,Avacado,140,27,3780
1092,Grapes,120,5,600
1093,Mango,180,36,6480
1094,Pineapple,70,15,1050
1095,Mango,180,44,7920
1096,WaterMelon,35,35,1225
1097,Gauva,40,39,1560
1098,Gauva,40,18,720
1099,Grapes,120,2,240
1100,Apple,220,27,5940
1101,WaterMelon,35,38,1330
1102,MuskMelon,35,41,1435
1103,Gauva,40,21,840
1104,Pears,130,20,2600
1105,Grapes,120,41,4920
1106,MuskMelon,35,26,910
1107,Pears,130,6,780
1108,WaterMelon,35,10,350
1109,MuskMelon,35,13,455
1110,Avacado,140,17,2380
1111,Gauva,40,29,1160
1112,Apple,220,21,4620
1113,WaterMelon,35,25,875
1114,CrustedApple,80,16,1280
1115,WaterMelon,35,18,630
1116,Mango,180,3,540
1117,WaterMelon,35,40,1400
1118,Orange,85,37,3145
1119,Pears,130,14,1820
1120,Pineapple,70,13,910
1121,Mango,180,43,7740
1122,Gauva,40,29,1160
1123,Apple,220,19,4180
1124,Pears,130,26,3380
1125,Apple,220,21,4620
1126,Mango,180,12,2160
1127,Grapes,120,39,4680
1128,WaterMelon,35,15,525
1129,CrustedApple,80,5,400
1130,Avacado,140,45,6300
1131,WaterMelon,35,50,1750
1132,Apple,220,3,660
1133,WaterMelon,35,14,490
1134,Pears,130,10,1300
1135,Pineapple,70,48,3360
1136,Pineapple,70,36,2520
1137,CrustedApple,80,3,240
1138,Avacado,140,15,2100
1139,Gauva,40,45,1800
1140,Pears,130,7,910
1141,Gauva,40,28,1120
1142,Pineapple,70,47,3290
1143,CrustedApple,80,17,1360
1144,Banana,55,47,2585
1145,CrustedApple,80,36,2880
1146,WaterMelon,35,35,1225
1147,MuskMelon,35,49,1715
1148,Apple,220,45,9900
1149,Pineapple,70,24,1680
1150,Gauva,40,22,880
