Invoice,Fruit,Price,qty,Total
3001,Mango,35,31,1085
3002,Pineapple,120,29,3480
3003,Avacado,35,43,1505
3004,Avacado,55,11,605
3005,Gauva,35,24,840
3006,Banana,55,18,990
3007,Pineapple,140,35,4900
3008,Grapes,220,44,9680
3009,Apple,35,33,1155
3010,Orange,80,10,800
3011,Avacado,85,11,935
3012,Pears,140,8,1120
3013,Mango,140,1,140
3014,Mango,85,4,340
3015,WaterMelon,35,48,1680
3016,CrustedApple,140,22,3080
3017,WaterMelon,80,29,2320
3018,Banana,40,48,1920
3019,WaterMelon,80,33,2640
3020,MuskMelon,130,10,1300
3021,MuskMelon,35,38,1330
3022,Orange,120,29,3480
3023,Pears,180,4,720
3024,Mango,70,29,2030
3025,CrustedApple,85,24,2040
3026,Mango,80,27,2160
3027,Avacado,220,29,6380
3028,MuskMelon,140,29,4060
3029,Avacado,130,6,780
3030,Orange,120,34,4080
3031,Mango,85,35,2975
3032,Grapes,85,6,510
3033,Mango,140,3,420
3034,Orange,120,43,5160
3035,MuskMelon,140,23,3220
3036,Grapes,130,50,6500
3037,Grapes,180,45,8100
3038,WaterMelon,35,23,805
3039,Orange,140,1,140
3040,MuskMelon,55,23,1265
3041,Mango,35,38,1330
3042,Gauva,40,24,960
3043,Mango,35,43,1505
3044,Orange,55,29,1595
3045,Pears,140,32,4480
3046,Banana,35,28,980
3047,MuskMelon,220,40,8800
3048,Orange,40,40,1600
3049,Gauva,130,26,3380
3050,Apple,140,39,5460
3051,WaterMelon,70,44,3080
3052,Pears,40,2,80
3053,Orange,55,49,2695
3054,Apple,85,48,4080
3055,Banana,70,49,3430
3056,Pears,140,28,3920
3057,Banana,220,2,440
3058,Avacado,180,10,1800
3059,Orange,180,10,1800
3060,Pineapple,180,4,720
3061,Banana,35,49,1715
3062,Avacado,140,35,4900
3063,Banana,180,50,9000
3064,Avacado,80,20,1600
3065,Pears,80,17,1360
3066,CrustedApple,35,23,805
3067,CrustedApple,55,29,1595
3068,CrustedApple,80,19,1520
3069,Gauva,55,20,1100
3070,Orange,80,38,3040
3071,CrustedApple,180,27,4860
3072,Mango,180,46,8280
3073,Gauva,140,24,3360
3074,MuskMelon,55,34,1870
3075,Apple,140,25,3500
3076,Mango,80,28,2240
3077,Mango,80,37,2960
3078,Orange,35,38,1330
3079,CrustedApple,35,15,525
3080,Apple,35,44,1540
3081,Banana,70,41,2870
3082,MuskMelon,220,42,9240
3083,Orange,80,38,3040
3084,Avacado,35,13,455
3085,Grapes,55,28,1540
3086,Grapes,130,44,5720
3087,Orange,80,28,2240
3088,Grapes,80,29,2320
3089,Avacado,35,41,1435
3090,Pineapple,85,23,1955
3091,Banana,220,32,7040
3092,Gauva,180,44,7920
3093,Pineapple,140,17,2380
3094,Gauva,220,17,3740
3095,Pineapple,55,30,1650
3096,Avacado,220,37,8140
3097,Pears,220,6,1320
3098,Avacado,130,7,910
3099,MuskMelon,180,35,6300
3100,Grapes,140,48,6720
3101,MuskMelon,35,50,1750
3102,Pineapple,35,45,1575
3103,CrustedApple,85,32,2720
3104,Pineapple,85,9,765
3105,Pineapple,40,5,200
3106,CrustedApple,55,12,660
3107,Apple,55,45,2475
3108,Gauva,130,27,3510
3109,Orange,130,44,5720
3110,Banana,85,37,3145
3111,Apple,130,29,3770
3112,Orange,130,29,3770
3113,Pears,55,8,440
3114,Orange,35,31,1085
3115,Pineapple,35,49,1715
3116,MuskMelon,80,49,3920
3117,Gauva,130,19,2470
3118,Apple,120,12,1440
3119,Grapes,180,45,8100
3120,Avacado,70,42,2940
3121,Orange,140,25,3500
3122,Orange,35,11,385
3123,Avacado,220,25,5500
3124,Orange,80,40,3200
3125,Banana,80,35,2800
3126,Gauva,35,31,1085
3127,Orange,40,6,240
3128,Gauva,35,10,350
3129,Pineapple,35,35,1225
3130,Avacado,35,11,385
3131,MuskMelon,120,48,5760
3132,Pineapple,140,18,2520
3133,Apple,85,23,1955
3134,CrustedApple,140,12,1680
3135,MuskMelon,40,50,2000
3136,Pears,70,38,2660
3137,CrustedApple,140,32,4480
3138,Gauva,85,39,3315
3139,Avacado,85,8,680
3140,Banana,130,36,4680
3141,Gauva,80,39,3120
3142,Orange,35,34,1190
3143,Apple,120,41,4920
3144,CrustedApple,35,45,1575
3145,Orange,140,19,2660
3146,CrustedApple,35,8,280
3147,Pears,85,7,595
3148,WaterMelon,35,34,1190
3149,WaterMelon,35,17,595
3150,Orange,85,8,680
3151,Grapes,35,11,385
3152,Apple,80,34,2720
3153,CrustedApple,220,45,9900
3154,Pineapple,55,16,880
3155,Avacado,35,3,105
